PRODUCT TYPE,الطراز,الكمية,سعر الجلب,"اجمالي
 الجلب",تم بيع,الباقي,"اجمالي 
البيع جلب",سعر البيع
مراوح sys fan ,"LC-D120, WHITE 3X1",15,116,1740,0,15,0,200
"sys fan 
CONTمجمع",K-1B 5V ARGB CON-B,30,30,870,1,29,30,45
"sys fan 
CONTمجمع",K-1B 5V ARGB CON-W,30,30,900,0,30,0,45
تبريد مائي,DEEPCOOL LE720 black,12,279,3348,0,12,0,675
تبريد مائي,DEEPCOOL LE720 white,12,288,3456,0,12,0,685
تبريد مائي,msi c360 360m,0,311,0,0,0,0,650
تبريد مائي,LC W240 WHITE,14,265,3710,0,14,0,350
تبريد مائي,LC W240 BLACK,14,255,3570,0,14,0,330
تبريد مائي,LC W360 WHITE,14,330,4620,0,14,0,450
تبريد مائي,LC W360 black,12,320,3840,0,12,0,430
cpu fan هواء,LC 400W ARG WHITE,40,80,3200,0,40,0,120
cpu fan هواء,LC 400b ARG BLACK,25,75,1875,0,25,0,120
cpu fan هواء,LC 400W RGB WHITE,32,75,2325,1,31,75,130
cpu fan هواء,LC 400W RGB BLACK,24,70,1680,0,24,0,110
فأره muse,R8 wirless,4,15,60,0,4,0,25
فأره muse,E-YOOSO X-11,3,104,312,0,3,0,130
فأره muse,G502 HERO,0,230,0,0,0,0,280
فأره muse,hivet ms393,0,95,0,0,0,0,120
فأره muse,hivet MS72,3,15,15,2,1,30,25
فأره muse,g102 ,1,115,115,0,1,0,150
فأره muse,g502 hero,2,231,462,0,2,0,295
فأره muse,g502 x,7,311,2177,0,7,0,395
فأره muse,g502 wireless,8,476,3808,0,8,0,595
فأره muse,g703,3,347,1041,0,3,0,450
فأره muse,g pro,4,426,1704,0,4,0,550
فأره muse,g pro x,3,612,1836,0,3,0,770
كرت,PCIE to m.2,1,120,120,0,1,0,120
كيبل,HD 3M,1,4,4,0,1,0,10
باترية,Tesla 2032,0,4,0,0,0,0,10
ستاند,T11 STAND,10,30,300,0,10,0,40
ستاند,T12 STAND,10,31,310,0,10,0,45
ستاند,FANTECHstand,1,32,32,0,1,0,40
ستاند,STAND عادي صغير,20,18,360,0,20,0,30
ستاند,STAND RGB Z8,20,53,1060,0,20,0,70
ستاند,STAND طاولة ,20,24,480,0,20,0,35
headset,havit wirlees ,2,135,270,0,2,0,180
headset,fantech wirless wh03,2,110,220,0,2,0,160
headset,fantech HG25,0,65,0,0,0,0,80
headset,fantech HG28,3,65,195,0,3,0,100
headset,hyperx cloud2,1,380,380,0,1,0,500
headset,hyperx cloud3,2,560,1120,0,2,0,750
سماعةheadset,hyperx stringer headset,1,260,260,0,1,0,300
keyboard,e-yooso,0,110,0,0,0,0,140
keyboard,e-yooso,0,150,0,0,0,0,180
keyboard,e-yooso BT,0,170,0,0,0,0,220
keyboard,1035,2,100,100,1,1,100,130
keyboard,hivet compo+,0,90,0,0,0,0,130
keyboard,60% GAMING,0,107,0,0,0,0,150
jostic ذراع,pc usp,1,15,15,0,1,0,25
ماوس باد,pug 60x30,1,14,14,0,1,0,30
ماوس باد,GM RGB,4,40,120,1,3,40,55
ماوس باد,30x30,14,4,56,0,14,0,7
ماوس باد,90X40x0.4,0,32,0,0,0,0,50
محول PSU ,sama 750w white,3,466,1398,0,3,0,580
محول PSU ,sama XF 850w  whiite,6,460,2760,0,6,0,650
محول PSU ,sama XF 1000W  WHITE,6,485,2910,0,6,0,880
محول PSU ,sama BLACK 1200W ,6,553,3318,0,6,0,950
محول PSU ,sama BLACK 1000W  ,6,470,2820,0,6,0,850
محول PSU ,sama 850w black,2,480,960,0,2,0,630
محول PSU ,sama 700w bronze,0,228,0,0,0,0,350
محول PSU ,sama 600 bronz,0,214,0,0,0,0,300
محول PSU ,sama 500 bronz,0,172,0,0,0,0,280
محول PSU ,AGIO 650W bronz,0,425,0,0,0,0,425
تجميعات جاهزة,"R5 5600G+B450
+8G+SSD512",1,450,0,1,0,450,1725
معجون حراري,grzly hydro 1g,0,29,0,0,0,0,45
معجون حراري,kryonaut  5.1,0,90,0,0,0,0,120
معجون حراري,grzly carbo,4,45,135,1,3,45,60
معجون حراري,gpu  thermal,3,200,600,0,3,0,120
معجون حراري,kryonaut 1g,19,30,570,0,19,0,45
معجون حراري,LK-12 10G,2,20,40,0,2,0,30
معجون حراري,LK-17 2G,14,15,210,0,14,0,25
معجون حراري,LK-17 10G,4,55,220,0,4,0,100
معجون حراري,LK LIQUED 1G,4,25,100,0,4,0,50
flash,phlips  32gb,0,40,0,0,0,0,55
flash,phlips  64gb,1,45,45,0,1,0,65
flash,HP  128gb,0,55,0,0,0,0,70
flash,HP  64gb,1,40,40,0,1,0,55
0,HP  32gb,1,35,35,0,1,0,45
flash,dhwa  64gb,4,25,100,0,4,0,45
flash,dhwa  120gb,2,40,80,0,2,0,60
HUB,USB HUB,1,40,40,0,1,0,60
camera,logitech c920,5,360,1800,0,5,0,100
antviurs,kaspersky,0,80,0,0,0,0,95
wirless,Bluetooth  USB,0,20,0,0,0,0,35
usb case ,m.2 usb case,1,60,60,0,1,0,60
وصلة ضي,POWER ADABTER,0,23,0,0,0,0,30
وصلة ,DP كيبل,2,60,120,0,2,0,75
وصلة ,rgb controller,46,7,322,0,46,0,20
وصلة ,rgb hup,23,7,161,0,23,0,20
وصلة ,fan splitter,23,10,230,0,23,0,20
شحن وايرلس,LED WIRLELESS CHARGER,10,65,650,0,10,0,85
مايك,HS+STAND,10,130,1300,0,10,0,210
مايك,HS عادي,10,80,800,0,10,0,145
طاوله,طاولة 140X60,5,400,2000,0,5,0,600
كرسي,كرسي,10,375,3375,1,9,375,500
كرسي,كرسي COUGER,0,400,0,0,0,0,500
عزوازل صوت,عازل هرمي,240,4,960,0,240,0,7
عوزازل صوت,عازل خلية,240,5,1200,0,240,0,9
key,win 11 pro activation,44,19,836,0,44,0,50
vga كرت شاشة,msi 3060,0,1500,0,0,0,0,1500
vga كرت شاشة,palt RTX3070 TI,1,1000,1000,0,1,0,2900
vga كرت شاشة,asus rx 5600xt,2,800,1600,0,2,0,1000
vga كرت شاشة,asus rx 5700xt,0,1160,0,0,0,0,1250
vga كرت شاشة,juejen rx 580,2,520,1040,0,2,0,700
